psc_code,psc_name
1287,FIRE CONTROL SONAR EQUIPMENT
1290,MISCELLANEOUS FIRE CONTROL EQUIPMENT
13,AMMUNITION AND EXPLOSIVES
1305,"AMMUNITION, THROUGH 30MM"
1310,"AMMUNITION, OVER 30MM UP TO 75MM"
1315,"AMMUNITION, 75MM THROUGH 125MM"
1320,"AMMUNITION, OVER 125MM"
1325,BOMBS
1330,GRENADES
1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS
1337,"GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS"
1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS"
1340,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS"
1345,LAND MINES
1346,REMOTE MUNITIONS
1350,"UNDERWATER MINE AND COMPONENTS, INERT"
1351,"UNDERWATER MINES AND COMPONENTS, EXPLOSIVE"
1352,UNDERWATER MINE DISPOSAL INERT DEVICES
1353,UNDERWATER MINE DISPOSAL EXPLOSIVE DEVICES
1355,"TORPEDOS AND COMPONENTS, INERT"
1356,"TORPEDOS AND COMPONENTS, EXPLOSIVE"
1360,"DEPTH CHARGES AND COMPONENTS, INERT"
1361,"DEPTH CHARGES AND COMPONENTS, EXPLOSIVE"
1365,MILITARY CHEMICAL AGENTS
1367,"TACTICAL SETS, KITS, AND OUTFITS"
1370,PYROTECHNICS
1375,DEMOLITION MATERIALS
1376,BULK EXPLOSIVES
1377,CARTRIDGE AND PROPELLANT ACTUATED DEVICES AND COMPONENTS
1380,MILITARY BIOLOGICAL AGENTS
1385,SURFACE USE EXPLOSIVE ORDNANCE DISPOSAL TOOLS AND EQUIPMENT
1386,UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT
1390,FUZES AND PRIMERS
1395,MISCELLANEOUS AMMUNITION
1398,SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT
14,GUIDED MISSLES
1410,GUIDED MISSILES
1420,GUIDED MISSILE COMPONENTS
1425,"GUIDED MISSILE SYSTEMS, COMPLETE"
1427,GUIDED MISSILE SUBSYSTEMS
1430,GUIDED MISSILE REMOTE CONTROL SYSTEMS
1440,"LAUNCHERS, GUIDED MISSILE"
1450,GUIDED MISSILE HANDLING AND SERVICING EQUIPMENT
15,AEROSPACE CRAFT AND STRUCTURAL COMPONENTS
1510,"AIRCRAFT, FIXED WING"
1520,"AIRCRAFT, ROTARY WING"
1540,GLIDERS
1550,UNMANNED AIRCRAFT
1555,SPACE VEHICLES
1560,AIRFRAME STRUCTURAL COMPONENTS
16,AEROSPACE CRAFT COMPONENTS AND ACCESSORIES
1610,AIRCRAFT PROPELLERS AND COMPONENTS
1615,"HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS"
1620,AIRCRAFT LANDING GEAR COMPONENTS
1630,AIRCRAFT WHEEL AND BRAKE SYSTEMS
1640,AIRCRAFT CONTROL CABLE PRODUCTS
1650,"AIRCRAFT HYDRAULIC, VACUUM, AND DE-ICING SYSTEM COMPONENTS"
1660,"AIRCRAFT AIR CONDITIONING, HEATING, AND PRESSURIZING EQUIPMENT"
1670,"PARACHUTES; AERIAL PICK UP, DELIVERY, RECOVERY SYSTEMS; AND CARGO TIE DOWN EQUIPMENT"
1675,SPACE VEHICLE COMPONENTS
1677,SPACE VEHICLE REMOTE CONTROL SYSTEMS
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS
17,"AEROSPACE CRAFT LAUNCHING, LANDING, GROUND HANDLING AND SERVICING EQUIPMENT"
1710,AIRCRAFT LANDING EQUIPMENT
1720,AIRCRAFT LAUNCHING EQUIPMENT
1725,SPACE VEHICLE LAUNCHERS
1730,AIRCRAFT GROUND SERVICING EQUIPMENT
1735,SPACE VEHICLE HANDLING AND SERVICING EQUIPMENT
1740,AIRFIELD SPECIALIZED TRUCKS AND TRAILERS
18,SPACE VEHICLES
1810,SPACE VEHICLES
1820,SPACE VEHICLE COMPONENTS
1830,SPACE VEHICLE REMOTE CONTROL SYSTEMS
1840,SPACE VEHICLE LAUNCHERS
1850,SPACE VEHICLE HANDLING AND SERVICING EQUIPMENT
1860,SPACE SURVIVAL EQUIPMENT
19,"SHIPS, SMALL CRAFT, PONTOON, DOCKS"
1900,FRIGATES ANS CORVETTES
1901,AIRCRAFT CARRIERS
1902,CRUISERS
1903,DESTROYERS
1904,SUBMARINES
1905,COMBAT SHIPS AND LANDING VESSELS
1906,MINELAYERS ADN MINESWEEPERS
1907,LANDING CRAFT
1908,TORPEDO BOATS AND GUN BOATS
1909,HYDROFOILS
1910,"TRANSPORT VESSELS, PASSENGER AND TROOP"
1911,AMPHIBIOUS ASSAULT SHIPS
1915,CARGO AND TANKER VESSELS
1920,FISHING VESSELS
1921,TUGS AND TOWBOATS
1922,FIRE BOATS
1923,ICE BREAKERS
1924,REPAIR SHIPS
1925,SPECIAL SERVICE VESSELS
1926,LIGHTSHIPS
1927,CABLE SHIPS
1928,SALVAGE VESSELS
1929,RESCUE VESSELS
1930,"BARGES AND LIGHTERS, CARGO"
1935,"BARGES AND LIGHTERS, SPECIAL PURPOSE"
1940,SMALL CRAFT
1945,PONTOONS AND FLOATING DOCKS
1950,FLOATING DRYDOCKS
1955,DREDGES
1990,MISCELLANEOUS VESSELS
20,SHIP AND MARINE EQUIPMENT
2010,SHIP AND BOAT PROPULSION COMPONENTS
2020,RIGGING AND RIGGING GEAR
2030,DECK MACHINERY
2040,MARINE HARDWARE AND HULL ITEMS
2050,BUOYS
2060,COMMERCIAL FISHING EQUIPMENT
2090,MISCELLANEOUS SHIP AND MARINE EQUIPMENT
22,RAILWAY EQUIPMENT
2210,LOCOMOTIVES
2220,RAIL CARS
2230,"RIGHT-OF-WAY CONSTRUCTION AND MAINTENANCE EQUIPMENT, RAILROAD"
2240,LOCOMOTIVE AND RAIL CAR ACCESSORIES AND COMPONENTS
2250,"TRACK MATERIAL, RAILROAD"
23,"MOTOR VEHICLES, CYCLES, TRAILERS"
2305,GROUND EFFECT VEHICLES
2310,PASSENGER MOTOR VEHICLES
2320,"TRUCKS AND TRUCK TRACTORS, WHEELED"
2330,TRAILERS
2340,"MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES"
2350,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED"
2355,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED"
24,TRACTORS
2410,"TRACTOR, FULL TRACKED, LOW SPEED"
2420,"TRACTORS, WHEELED"
2430,"TRACTORS, FULL TRACKED, HIGH SPEED"
25,VEHICULAR EQUIPMENT COMPONENTS
2510,"VEHICULAR CAB, BODY, AND FRAME STRUCTURAL COMPONENTS"
2520,VEHICULAR POWER TRANSMISSION COMPONENTS
2530,"VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS"
2540,VEHICULAR FURNITURE AND ACCESSORIES
2541,WEAPONS SYSTEMS SPECIFIC VEHICULAR ACCESSORIES
2590,MISCELLANEOUS VEHICULAR COMPONENTS
26,TIRES AND TUBES
2610,"TIRES AND TUBES, PNEUMATIC, EXCEPT AIRCRAFT"
2620,"TIRES AND TUBES, PNEUMATIC, AIRCRAFT"
2630,"TIRES, SOLID AND CUSHION"
2640,TIRE REBUILDING AND TIRE AND TUBE REPAIR MATERIALS
28,ENGINES AND TURBINES AND COMPONENT
2805,"GASOLINE RECIPROCATING ENGINES, EXCEPT AIRCRAFT; AND COMPONENTS"
2810,"GASOLINE RECIPROCATING ENGINES, AIRCRAFT PRIME MOVER; AND COMPONENTS"
2815,DIESEL ENGINES AND COMPONENTS
2820,"STEAM ENGINES, RECIPROCATING; AND COMPONENTS"
2825,STEAM TURBINES AND COMPONENTS
2830,WATER TURBINES AND WATER WHEELS; AND COMPONENTS
2835,"GAS TURBINES AND JET ENGINES; NON-AIRCRAFT PRIME MOVER, AIRCRAFT NON-PRIME MOVER, AND COMPONENTS"
2840,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS"
2845,ROCKET ENGINES AND COMPONENTS
2850,GASOLINE ROTARY ENGINES AND COMPONENTS
2895,MISCELLANEOUS ENGINES AND COMPONENTS
29,ENGINE ACCESSORIES
2910,"ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT"
2915,"ENGINE FUEL SYSTEM COMPONENTS, AIRCRAFT AND MISSILE PRIME MOVERS"
2920,"ENGINE ELECTRICAL SYSTEM COMPONENTS, NONAIRCRAFT"
2925,"ENGINE ELECTRICAL SYSTEM COMPONENTS, AIRCRAFT PRIME MOVING"
2930,"ENGINE COOLING SYSTEM COMPONENTS, NONAIRCRAFT"
2935,"ENGINE SYSTEM COOLING COMPONENTS, AIRCRAFT PRIME MOVING"
2940,"ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT"
2945,"ENGINE AIR AND OIL FILTERS, CLEANERS, AIRCRAFT PRIME MOVING"
2950,TURBOSUPERCHARGER AND COMPONENTS
2990,"MISCELLANEOUS ENGINE ACCESSORIES, NONAIRCRAFT"
2995,"MISCELLANEOUS ENGINE ACCESSORIES, AIRCRAFT"
30,MECHANICAL POWER TRANSMISSION EQPT
3010,TORQUE CONVERTERS AND SPEED CHANGERS
3020,"GEARS, PULLEYS, SPROCKETS, AND TRANSMISSION CHAIN"
3030,"BELTING, DRIVE BELTS, FAN BELTS, AND ACCESSORIES"
3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT
31,BEARINGS
3110,"BEARINGS, ANTIFRICTION, UNMOUNTED"
3120,"BEARINGS, PLAIN, UNMOUNTED"
3130,"BEARINGS, MOUNTED"
32,WOODWORKING MACHINERY AND EQPT
3210,SAWMILL AND PLANING MILL MACHINERY
3220,WOODWORKING MACHINES
3230,TOOLS AND ATTACHMENTS FOR WOODWORKING MACHINERY
34,METALWORKING MACHINERY
3405,SAWS AND FILING MACHINES
3408,MACHINING CENTERS AND WAY-TYPE MACHINES
3410,ELECTRICAL AND ULTRASONIC EROSION MACHINES
3411,BORING MACHINES
3412,BROACHING MACHINES
3413,DRILLING AND TAPPING MACHINES
3414,GEAR CUTTING AND FINISHING MACHINES
3415,GRINDING MACHINES
3416,LATHES
3417,MILLING MACHINES
3418,PLANERS AND SHAPERS
3419,MISCELLANEOUS MACHINE TOOLS
3422,ROLLING MILLS AND DRAWING MACHINES
3424,METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT
3426,METAL FINISHING EQUIPMENT
3431,ELECTRIC ARC WELDING EQUIPMENT
3432,ELECTRIC RESISTANCE WELDING EQUIPMENT
3433,"GAS WELDING, HEAT CUTTING, AND METALIZING EQUIPMENT"
3436,WELDING POSITIONERS AND MANIPULATORS
3438,MISCELLANEOUS WELDING EQUIPMENT
3439,"MISCELLANEOUS WELDING, SOLDERING, AND BRAZING SUPPLIES AND ACCESSORIES"
3441,BENDING AND FORMING MACHINES
3442,"HYDRAULIC AND PNEUMATIC PRESSES, POWER DRIVEN"
3443,"MECHANICAL PRESSES, POWER DRIVEN"
3444,MANUAL PRESSES
3445,PUNCHING AND SHEARING MACHINES
3446,FORGING MACHINERY AND HAMMERS
3447,WIRE AND METAL RIBBON FORMING MACHINES
3448,RIVETING MACHINES
3449,MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES
3450,"MACHINE TOOLS, PORTABLE"
3455,CUTTING TOOLS FOR MACHINE TOOLS
3456,CUTTING AND FORMING TOOLS FOR SECONDARY METALWORKING MACHINERY
3460,MACHINE TOOL ACCESSORIES
3461,ACCESSORIES FOR SECONDARY METALWORKING MACHINERY
3465,"PRODUCTION JIGS, FIXTURES, AND TEMPLATES"
3470,"MACHINE SHOP SETS, KITS, AND OUTFITS"
35,SERVICE AND TRADE EQPT
3510,LAUNDRY AND DRY CLEANING EQUIPMENT
3520,SHOE REPAIRING EQUIPMENT
3530,INDUSTRIAL SEWING MACHINES AND MOBILE TEXTILE REPAIR SHOPS
3540,WRAPPING AND PACKAGING MACHINERY
3550,VENDING AND COIN OPERATED MACHINES
3590,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT
36,SPECIAL INDUSTRY MACHINERY
3605,FOOD PRODUCTS MACHINERY AND EQUIPMENT
3610,"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"
3611,INDUSTRIAL MARKING MACHINES
3615,PULP AND PAPER INDUSTRIES MACHINERY
3620,RUBBER AND PLASTICS WORKING MACHINERY
3625,TEXTILE INDUSTRIES MACHINERY
3630,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY
3635,CRYSTAL AND GLASS INDUSTRIES MACHINERY
3640,TOBACCO MANUFACTURING MACHINERY
3645,LEATHER TANNING AND LEATHER WORKING INDUSTRIES MACHINERY
3650,CHEMICAL AND PHARMACEUTICAL PRODUCTS MANUFACTURING MACHINERY
3655,"GAS GENERATING AND DISPENSING SYSTEMS, FIXED OR MOBILE"
3660,INDUSTRIAL SIZE REDUCTION MACHINERY
3670,"SPECIALIZED SEMICONDUCTOR, MICROCIRCUIT, AND PRINTED CIRCUIT BOARD MANUFACTURING MACHINERY"
3680,"FOUNDRY MACHINERY, RELATED EQUIPMENT AND SUPPLIES"
3685,SPECIALIZED METAL CONTAINER MANUFACTURING MACHINERY AND RELATED EQUIPMENT
3690,SPECIALIZED AMMUNITION AND ORDNANCE MACHINERY AND RELATED EQUIPMENT
3693,INDUSTRIAL ASSEMBLY MACHINES
3694,"CLEAN WORK STATIONS, CONTROLLED ENVIRONMENT, AND RELATED EQUIPMENT"
3695,MISCELLANEOUS SPECIAL INDUSTRY MACHINERY
37,AGRICULTURAL MACHINERY AND EQPT
3710,SOIL PREPARATION EQUIPMENT
3720,HARVESTING EQUIPMENT
3730,"DAIRY, POULTRY, AND LIVESTOCK EQUIPMENT"
3740,"PEST, DISEASE, AND FROST CONTROL EQUIPMENT"
3750,GARDENING IMPLEMENTS AND TOOLS
3760,ANIMAL DRAWN VEHICLE & FARM TRAILER
3770,"SADDLERY, HARNESS, WHIPS, AND RELATED ANIMAL FURNISHINGS"
38,CONSTRUCT/MINE/EXCAVATE/HIGHWY EQPT
3805,EARTH MOVING AND EXCAVATING EQUIPMENT
3810,CRANES AND CRANE-SHOVELS
3815,CRANE AND CRANE-SHOVEL ATTACHMENTS
3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT"
3825,"ROAD CLEARING, CLEANING, AND MARKING EQUIPMENT"
3830,TRUCK AND TRACTOR ATTACHMENTS
3835,PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT
3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT
39,MATERIALS HANDLING EQPT
3910,CONVEYORS
3915,MATERIALS FEEDERS
3920,"MATERIAL HANDLING EQUIPMENT, NONSELF-PROPELLED"
3930,"WAREHOUSE TRUCKS AND TRACTORS, SELF-PROPELLED"
3940,"BLOCKS, TACKLE, RIGGING, AND SLINGS"
3950,"WINCHES, HOISTS, CRANES, AND DERRICKS"
3960,FREIGHT ELEVATORS
3990,MISCELLANEOUS MATERIALS HANDLING EQUIPMENT
40,"ROPE, CABLE, CHAIN, FITTINGS"
4010,CHAIN AND WIRE ROPE
4020,"FIBER ROPE, CORDAGE, AND TWINE"
4030,"FITTINGS FOR ROPE, CABLE, AND CHAIN"
41,"REFRIG, AIR CONDIT/CIRCULAT EQPT"
4110,REFRIGERATION EQUIPMENT
4120,AIR CONDITIONING EQUIPMENT
4130,REFRIGERATION AND AIR CONDITIONING COMPONENTS
4140,"FANS, AIR CIRCULATORS, AND BLOWER EQUIPMENT"
4150,VORTEX TUBES AND OTHER RELATED COOLING TUBES
42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT
4210,FIRE FIGHTING EQUIPMENT
4220,MARINE LIFESAVING AND DIVING EQUIPMENT
4230,DECONTAMINATING AND IMPREGNATING EQUIPMENT
4235,HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL
4240,SAFETY AND RESCUE EQUIPMENT
4250,RECYCLING AND RECLAMATION EQUIPMENT
43,PUMPS AND COMPRESSORS
4310,COMPRESSORS AND VACUUM PUMPS
4320,POWER AND HAND PUMPS
4330,"CENTRIFUGALS, SEPARATORS, AND PRESSURE AND VACUUM FILTERS"
44,FURNACE/STEAM/DRYING; NUCL REACTOR
4410,INDUSTRIAL BOILERS
4420,HEAT EXCHANGERS AND STEAM CONDENSERS
4430,"INDUSTRIAL FURNACES, KILNS, LEHRS, AND OVENS"
4440,"DRIERS, DEHYDRATORS, AND ANHYDRATORS"
4460,AIR PURIFICATION EQUIPMENT
4470,NUCLEAR REACTORS
45,"PLUMBING, HEATING, WASTE DISPOSAL"
4510,PLUMBING FIXTURES AND ACCESSORIES
4520,SPACE AND WATER HEATING EQUIPMENT
4530,FUEL BURNING EQUIPMENT UNITS
4540,WASTE DISPOSAL EQUIPMENT
46,WATER PURIFICATION/SEWAGE TREATMENT
4610,WATER PURIFICATION EQUIPMENT
4620,"WATER DISTILLATION EQUIPMENT, MARINE AND INDUSTRIAL"
4630,SEWAGE TREATMENT EQUIPMENT
47,"PIPE, TUBING, HOSE, AND FITTINGS"
4710,"PIPE, TUBE AND RIGID TUBING"
4720,HOSE AND FLEXIBLE TUBING
4730,"HOSE, PIPE, TUBE, LUBRICATION, AND RAILING FITTINGS"
48,VALVES
4810,"VALVES, POWERED"
4820,"VALVES, NONPOWERED"
49,MAINT/REPAIR SHOP EQPT
4910,MOTOR VEHICLE MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT
4920,AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT
4921,"TORPEDO MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4923,"DEPTH CHARGES AND UNDERWATER MINES MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4925,"AMMUNITION MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4927,"ROCKET MAINTENANCE, REPAIR AND CHECKOUT SPECIALIZED EQUIPMENT"
4930,LUBRICATION AND FUEL DISPENSING EQUIPMENT
4931,FIRE CONTROL MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT
4933,WEAPONS MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT
4935,"GUIDED MISSILE MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4940,MISCELLANEOUS MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT
4960,"SPACE VEHICLE MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4970,"MULTIPLE GUIDED WEAPONS, SPECIALIZED MAINTENANCE AND REPAIR SHOP EQUIPMENT"
51,HAND TOOLS
5110,"HAND TOOLS, EDGED, NONPOWERED"
5120,"HAND TOOLS, NONEDGED, NONPOWERED"
5130,"HAND TOOLS, POWER DRIVEN"
5133,"DRILL BITS, COUNTERBORES, AND COUNTERSINKS: HAND AND MACHINE"
5136,"TAPS, DIES, AND COLLETS; HAND AND MACHINE"
5140,TOOL AND HARDWARE BOXES
5180,"SETS, KITS, AND OUTFITS OF HAND TOOLS"
52,MEASURING TOOLS
5210,"MEASURING TOOLS, CRAFTSMEN'S"
5220,INSPECTION GAGES AND PRECISION LAYOUT TOOLS
5280,"SETS, KITS, AND OUTFITS OF MEASURING TOOLS"
53,HARDWARE AND ABRASIVES
5305,SCREWS
5306,BOLTS
5307,STUDS
5310,NUTS AND WASHERS
5315,"NAILS, MACHINE KEYS, AND PINS"
5320,RIVETS
5325,FASTENING DEVICES
5330,PACKING AND GASKET MATERIALS
5331,O-RING
5335,METAL SCREENING
5340,"HARDWARE, COMMERCIAL"
5341,BRACKETS
5342,"HARDWARE, WEAPON SYSTEM"
5345,"DISKS AND STONES, ABRASIVE"
5350,ABRASIVE MATERIALS
5355,KNOBS AND POINTERS
5360,"COIL, FLAT, LEAF, AND WIRE SPRINGS"
5365,"BUSHINGS, RINGS, SHIMS, AND SPACERS"
54,PREFAB STRUCTURES/SCAFFOLDING
5410,PREFABRICATED AND PORTABLE BUILDINGS
5411,RIGID WALL SHELTERS
5419,COLLECTIVE MODULAR SUPPORT SYSTEM
5420,"BRIDGES, FIXED AND FLOATING"
5430,STORAGE TANKS
5440,SCAFFOLDING EQUIPMENT AND CONCRETE FORMS
5445,PREFABRICATED TOWER STRUCTURES
5450,MISCELLANEOUS PREFABRICATED STRUCTURES
55,"LUMBER, MILLWORK, PLYWOOD, VENEER"
5510,LUMBER AND RELATED BASIC WOOD MATERIALS
5520,MILLWORK
5530,PLYWOOD AND VENEER
56,CONSTRUCTION AND BUILDING MATERIAL
5610,"MINERAL CONSTRUCTION MATERIALS, BULK"
5620,"TILE, BRICK AND BLOCK"
5630,"PIPE AND CONDUIT, NONMETALLIC"
5640,"WALLBOARD, BUILDING PAPER, AND THERMAL INSULATION MATERIALS"
5650,ROOFING AND SIDING MATERIALS
5660,"FENCING, FENCES, GATES AND COMPONENTS"
5670,"BUILDING COMPONENTS, PREFABRICATED"
5675,NONWOOD CONSTRUCTION LUMBER AND RELATED MATERIALS
5680,MISCELLANEOUS CONSTRUCTION MATERIALS
58,COMM/DETECT/COHERENT RADIATION
5805,TELEPHONE AND TELEGRAPH EQUIPMENT
5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS
5811,OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS
5815,TELETYPE AND FACSIMILE EQUIPMENT
5820,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE"
5821,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE"
5825,"RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE"
5826,"RADIO NAVIGATION EQUIPMENT, AIRBORNE"
5830,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, EXCEPT AIRBORNE"
5831,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, AIRBORNE"
5835,SOUND RECORDING AND REPRODUCING EQUIPMENT
5836,VIDEO RECORDING AND REPRODUCING EQUIPMENT
5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE"
5841,"RADAR EQUIPMENT, AIRBORNE"
5845,UNDERWATER SOUND EQUIPMENT
5850,VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT
5855,"NIGHT VISION EQUIPMENT, EMITTED AND REFLECTED RADIATION"
5860,"STIMULATED COHERENT RADIATION DEVICES, COMPONENTS, AND ACCESSORIES"
5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT"
5895,MISCELLANEOUS COMMUNICATION EQUIPMENT
59,ELECTRICAL/ELECTRONIC EQPT COMPNTS
5905,RESISTORS
5910,CAPACITORS
5915,FILTERS AND NETWORKS
5920,"FUSES, ARRESTORS, ABSORBERS, AND PROTECTORS"
5925,CIRCUIT BREAKERS
5930,SWITCHES
5935,"CONNECTORS, ELECTRICAL"
5940,"LUGS, TERMINALS, AND TERMINAL STRIPS"
5945,RELAYS AND SOLENOIDS
5950,COILS AND TRANSFORMERS
5955,OSCILLATORS AND PIEZOELECTRIC CRYSTALS
5960,ELECTRON TUBES AND ASSOCIATED HARDWARE
5961,SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE
5962,"MICROCIRCUITS, ELECTRONIC"
5963,ELECTRONIC MODULES
5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS"
5970,ELECTRICAL INSULATORS AND INSULATING MATERIALS
5975,ELECTRICAL HARDWARE AND SUPPLIES
5977,ELECTRICAL CONTACT BRUSHES AND ELECTRODES
5980,OPTOELECTRONIC DEVICES AND ASSOCIATED HARDWARE
5985,"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT"
5990,SYNCHROS AND RESOLVERS
5995,"CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT"
5996,AMPLIFIERS
5998,"ELECTRICAL AND ELECTRONIC ASSEMBLIES, BOARDS, CARDS, AND ASSOCIATED HARDWARE"
5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS
60,FIBER OPTIC
6004,ROTARY JOINTS
6005,"COUPLERS, SPLITTERS, & MIXERS"
6006,ATTENUATORS
6007,FILTERS
6008,OPTICAL MULTIPLEXERS/DEMULTIPLEXERS
6010,FIBER OPTIC CONDUCTORS
6015,FIBER OPTIC CABLES
6020,FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES
6021,FIBER OPTIC SWITCHES
6025,FIBER OPTIC TRANSMITTERS
6026,FIBER OPTIC RECEIVERS
6029,FIBER OPTIC REPEATERS
6030,FIBER OPTIC DEVICES
6031,INTEGRATED OPTICAL CIRCUITS
6032,FIBER OPTIC LIGHT SOURCES AND PHOTO DETECTORS
6033,FIBER OPTIC PHOTO DETECTORS
6034,FIBER OPTIC MOD/DEMODULATORS
6035,FIBER OPTIC LIGHT TRANSFER AND IMAGE TRANSFER DEVICES
6040,FIBER OPTIC SENSORS
6050,FIBER OPTIC PASSIVE DEVICES
6060,FIBER OPTIC INTERCONNECTORS
6070,FIBER OPTIC ACCESSORIES AND SUPPLIES
